house_list,house_info,district,unit_price,followers_and_post_time,,tags
好房出售 滨江物业 房子还不错的 业主诚心卖 随时看房,3室2厅 | 120.63平米 | 南 | 精装 | 16层  | 板楼,金色黎明三期  笕桥,"36,061元/平",7人关注 / 一年前发布,近地铁 VR看装修 房本满五年,
水岸锦城 中间楼层精装修 有车位,3室2厅 | 132.76平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,水岸锦城  塘栖,"10,395元/平",1人关注 / 17天以前发布,VR房源 随时看房,
户型方正 采光视野无遮挡，业主诚心出售,2室1厅 | 61.7平米 | 南 | 简装 | 16层  | 板楼,北城铭苑  丁桥,"18,639元/平",14人关注 / 10个月以前发布,VR看装修 房本满五年 随时看房,
泰和花园 3室2厅 南,3室2厅 | 129.02平米 | 南 | 其他 | 中楼层(共5层)  | 板塔结合,泰和花园  南部卧城,"25,190元/平",0人关注 / 2个月以前发布,VR房源 房本满五年 随时看房,
自住精装三房 保养好  三开间朝南双阳台 视野好 诚售,3室2厅 | 87.52平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,金地艺境西区  乔司,"21,938元/平",0人关注 / 1个月以前发布,近地铁 VR看装修 房本满五年,
通透三居户型面积120平配套成熟 业主诚心出售,3室2厅 | 119.82平米 | 南 | 其他 | 18层  | 板楼,良熟新苑  临平新城,"13,521元/平",1人关注 / 1个月以前发布,VR房源 随时看房,
文海次新房，万科品质，精装四房带地暖，房东急售,4室2厅 | 139.44平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,湖印光年府  高教园区西,"34,424元/平",4人关注 / 10个月以前发布,近地铁 VR看装修 随时看房,
爱达城边上大三房，无增值税，高楼层边套,3室1厅 | 123.71平米 | 南 | 简装 | 23层  | 板楼,北秀向阳苑西区  崇贤,"13,015元/平",4人关注 / 一年前发布,VR看装修 房本满两年 随时看房,
刚需换三房来看看 中间楼层 采光充足 公园边上,3室1厅 | 46.58平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,长坡里  潮鸣,"32,203元/平",6人关注 / 8个月以前发布,近地铁 VR看装修 房本满五年,
奥体世纪城 次新小学 层高4.2米,1室1厅 | 37.18平米 | 南 | 其他 | 21层  | 板塔结合,旭辉和昌都会山  钱江世纪城,"23,938元/平",2人关注 / 3个月以前发布,近地铁 VR房源 房本满两年 随时看房,
南区 房子楼层好 户型好 次新房  房东诚心看房方便,4室2厅 | 123.7平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,东旭府  义桥,"15,037元/平",6人关注 / 8个月以前发布,VR看装修 房本满两年 随时看房,
东郡之星89平大3房，采光视野好，客厅房间都有大阳台,3室2厅 | 89.55平米 | 东南 | 简装 | 高楼层(共32层)  | 塔楼,宋都东郡之星  大学城北,"18,984元/平",0人关注 / 3个月以前发布,VR看装修 随时看房,
K11特大阳台，东边套，大横厅，视野开阔~,4室2厅 | 144.01平米 | 东 南 | 精装 | 23层  | 板楼,江明月朗园  四季青,"79,856元/平",5人关注 / 1个月以前发布,VR房源 随时看房,
中叠产品，旁边配套成熟，交通便利，小区环境优美。,4室2厅 | 138.4平米 | 南 | 精装 | 6层  | 板楼,远洋路劲上河宸章  崇贤,"24,784元/平",1人关注 / 11个月以前发布,VR房源 房本满五年 随时看房,
西溪花园电梯2房，小区中间位置，低总价，近西溪湿地,2室1厅 | 63.69平米 | 南 | 简装 | 低楼层(共10层)  | 板楼,西溪花园芦雪苑  西溪,"20,412元/平",20人关注 / 3个月以前发布,VR看装修,
九龙山庄排屋中间套百方花园低总价,4室2厅 | 263.13平米 | 南 | 毛坯 | 2层  | 板楼,九龙山庄  银湖科技城,"22,043元/平",4人关注 / 4个月以前发布,VR房源 房本满五年 随时看房,
央企开发，热盘东湾，双阳台户型，满五唯一,3室2厅 | 93.78平米 | 南 | 简装 | 33层  | 板楼,保利东湾  沿江南,"18,661元/平",2人关注 / 6个月以前发布,VR看装修 房本满五年 随时看房,
钱塘雅苑，可以看山看江，楼层视野好，客厅落地窗,3室2厅 | 155.4平米 | 南 | 简装 | 23层  | 板楼,钱塘雅苑  复兴,"31,210元/平",0人关注 / 1个月以前发布,近地铁 VR看装修 房本满五年,
格局好边套户型大四房双阳台三房朝南,4室2厅 | 130.34平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,晨语汀澜里  崇贤,"21,866元/平",0人关注 / 4个月以前发布,VR看装修 随时看房,
视野开阔，无遮挡，配套设施齐全，交通便利，,1室1厅 | 44.1平米 | 南 | 其他 | 16层  | 板塔结合,华元十六街区  高教园区西,"8,391元/平",0人关注 / 1个月以前发布,近地铁 VR房源 房本满五年,
永福地铁口，精装四房两卫，中上好楼层，阳台多，诚售,4室2厅 | 114.62平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,富力新线公园  未来科技城,"34,026元/平",4人关注 / 一年前发布,近地铁 VR看装修 房本满五年,
郡枫绿园西区 3室2厅 东,3室2厅 | 83.56平米 | 东 | 其他 | 16层  | 板楼,郡枫绿园西区  丁桥,"20,944元/平",0人关注 / 1个月以前发布,近地铁 VR看装修 房本满五年,
大关东四苑 中间楼层三房 总价低 看房方便 不靠马路,2室1厅 | 65.86平米 | 南 | 简装 | 6层  | 板楼,大关东四苑  大关,"24,294元/平",0人关注 / 1个月以前发布,近地铁 VR看装修 房本满五年 随时看房,
地铁口 地下室直通地铁和商场 四叶草户型,4室2厅 | 128.1平米 | 南 | 精装 | 11层  | 板楼,天空之城  大江东,"19,751元/平",0人关注 / 2个月以前发布,近地铁 VR看装修 房本满五年 随时看房,
中间楼层 开发商精装  通风采光都挺好,1室1厅 | 41.56平米 | 南 | 精装 | 8层  | 板楼,富力十号一期  未来科技城,"17,565元/平",5人关注 / 一年前发布,近地铁 VR房源 房本满五年,
单元已加装电梯，精装修，无两税，两房1厅，双地铁口,2室1厅 | 54.07平米 | 南 | 精装 | 6层  | 板楼,和睦新村  和睦,"28,667元/平",7人关注 / 22天以前发布,近地铁 VR看装修 房本满五年 随时看房,
此房是次新房，楼层好视野开阔，采光充足,3室2厅 | 98.74平米 | 北 南 | 精装 | 26层  | 平房,大华潮悦前城  大江东,"15,192元/平",2人关注 / 一年前发布,VR看装修 随时看房,
香悦和鸣东边套，4房2卫，位置好，很安静,4室2厅 | 120.14平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,香悦和鸣府  临平新城,"23,723元/平",3人关注 / 5个月以前发布,VR看装修 随时看房,
近地铁，小河景观房楼层高采光好,2室1厅 | 56.85平米 | 东 | 简装 | 高楼层(共25层)  | 板楼,蔡马人家  拱宸桥,"35,181元/平",0人关注 / 28天以前发布,VR看装修 随时看房,
星万里，地铁口，精装修，边套，不靠高架，只有契税,3室2厅 | 95.24平米 | 南 | 其他 | 低楼层(共28层)  | 塔楼,杭辰星万里  塘栖,"14,490元/平",0人关注 / 5个月以前发布,VR看装修 房本满两年 随时看房,
锦南次新小区户型方正好楼层采光无遮挡,4室2厅 | 129.85平米 | 南 | 简装 | 16层  | 板塔结合,锦南人家  临安,"7,548元/平",0人关注 / 1个月以前发布,近地铁 VR看装修 随时看房,
保直街直街 一室一厅 中间楼层 东边套,1室1厅 | 48.71平米 | 南 | 简装 | 6层  | 板楼,保安桥直街  鼓楼,"31,821元/平",1人关注 / 30天以前发布,近地铁 VR看装修 随时看房,
酒店式总价低 精装 有钥匙看房方便，看中价格可谈,1室1厅 | 39.4平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,联合麦田  三里亭,"10,153元/平",3人关注 / 21天以前发布,近地铁 VR房源 随时看房,
森与海一区三期，房子带车位，诚心出售,3室1厅 | 102.2平米 | 南 | 其他 | 低楼层(共16层)  | 板塔结合,融创森与海之城  萧山开发区,"8,807元/平",2人关注 / 1个月以前发布,VR看装修 随时看房,
舒适两居室! 诚心急售!顶天立地的好房子,2室1厅 | 46.54平米 | 南 | 简装 | 7层  | 板楼,美政花苑  复兴,"26,859元/平",0人关注 / 1个月以前发布,近地铁 VR看装修 房本满五年 随时看房,
精装修，诚心出售，价格可议，置换,3室2厅 | 105.16平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,溪悦十锦台公寓  临安,"11,887元/平",0人关注 / 4个月以前发布,VR看装修 房本满两年 随时看房,
封闭式小区 房子户型方正 楼层好 采光好  环境幽静,3室2厅 | 138.09平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,众安花园  萧山市区,"16,294元/平",0人关注 / 5个月以前发布,VR看装修 房本满五年 随时看房,
房东诚心置换 价格低 近美院 地铁口 学军,2室2厅 | 89.66平米 | 南 | 毛坯 | 11层  | 板楼,转塘家园  之江,"15,392元/平",21人关注 / 一年前发布,VR看装修 随时看房,
地上集团开发建造，品质好，小区带游泳池,4室2厅 | 70.32平米 | 南 | 简装 | 19层  | 板塔结合,南樾府  临安,"9,671元/平",2人关注 / 11个月以前发布,VR房源 房本满两年 随时看房,
青蓝 全明西边套 5楼太阳好 单价低 有钥匙随时看房,2室1厅 | 63.23平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,水陆寺巷  长庆,"42,385元/平",0人关注 / 21天以前发布,VR看装修 房本满五年 随时看房,
翠苑四区 东边套满五年 自住装修清爽的,2室1厅 | 51.9平米 | 东 | 简装 | 7层  | 板楼,翠苑四区  翠苑,"26,012元/平",5人关注 / 8个月以前发布,VR看装修 房本满五年 随时看房,
中间楼层，西边套，双阳台，视野采光好,3室2厅 | 137.6平米 | 南 | 简装 | 中楼层(共9层)  | 板楼,竹海水韵  闲林,"15,262元/平",0人关注 / 31天以前发布,VR房源 随时看房,
满五年  诚心卖 有电梯  位置佳 得房率高,3室2厅 | 82.28平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,朝阳西路小区  临平新城,"12,883元/平",6人关注 / 7个月以前发布,近地铁 VR看装修 房本满五年 随时看房,
锦绣6小旁边，地铁口480米  精装交付带地暖 次新小区,3室2厅 | 98.77平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,金成汀云上府  未来科技城,"37,360元/平",1人关注 / 7个月以前发布,近地铁 VR看装修 随时看房,
中间楼层带大露台，视野采光好，精装修诚心出售,5室2厅 | 226.33平米 | 南 北 | 精装 | 8层  | 板楼,绿岛花园  临安,"6,849元/平",0人关注 / 一年前发布,VR房源 房本满五年 随时看房,
房东诚心出售农林大学地铁口中间楼层东边套好房,4室2厅 | 125.64平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,湖山云台苑  临安,"12,497元/平",1人关注 / 4个月以前发布,近地铁 VR看装修 房本满两年 随时看房,
自住标准保养的好，得房率接近佰分佰,4室2厅 | 115.24平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,富力新线公园  未来科技城,"36,012元/平",3人关注 / 3个月以前发布,近地铁 VR看装修 房本满五年,
地上品质 春天学府 简单装修 两室两厅 有车位,2室2厅 | 69.28平米 | 南 | 其他 | 低楼层(共19层)  | 板楼,春天学府  临安,"11,404元/平",0人关注 / 2个月以前发布,VR看装修 房本满两年,
联排中间套，实用面积460方，南进门,5室2厅 | 210.25平米 | 南 | 简装 | 3层  | 板楼 | 联排别墅 ,逸城  东洲,"17,503元/平",2人关注 / 一年前发布,VR房源 房本满五年 随时看房,
绿城代建 绿城物业 上档次  三房两卫 楼间距大,3室2厅 | 124.72平米 | 南 | 毛坯 | 高楼层(共22层)  | 板塔结合,望钰和府南区  富春,"12,268元/平",0人关注 / 一年前发布,近地铁 VR看装修 房本满两年,
东边套，南面正对小区花园，大平层，精装修,5室2厅 | 217.59平米 | 南 东 北 | 精装 | 中楼层(共17层)  | 暂无数据,滨汇府  富春,"27,024元/平",0人关注 / 1个月以前发布,VR看装修 随时看房,
房东自住装修  格局沿河采光充足,3室2厅 | 125.19平米 | 南 | 精装 | 10层  | 板楼,棕榈湾二期  良渚,"15,976元/平",0人关注 / 1个月以前发布,VR房源 房本满两年,
上尚府，此房满五唯一，诚心出售，东边套 精装修，,3室2厅 | 192.73平米 | 东 南 | 精装 | 中楼层(共32层)  | 塔楼,上尚府  桐庐,"15,826元/平",1人关注 / 10个月以前发布,VR看装修 房本满五年,
此房满五年，配套齐全，双地铁口，业主诚心售卖,3室2厅 | 114.6平米 | 南 | 简装 | 6层  | 板楼,铭雅苑东区  三墩,"15,969元/平",8人关注 / 8个月以前发布,近地铁 VR看装修 房本满五年 随时看房,
：刚交付小区，中天开发品质有保障，采光视野无两,2室1厅 | 69.24平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,中天大家宸澜学府  临安,"11,410元/平",1人关注 / 8个月以前发布,VR看装修 房本满两年 随时看房,
宝龙旁次新小区，楼层好，环境好，人车分流,3室2厅 | 82.94平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 板塔结合,文居学府  富春,"15,192元/平",0人关注 / 2个月以前发布,VR看装修 房本满五年,
阿里总部旁 福鼎家园 大两房 绿城物业 近地铁 配套好,2室1厅 | 81平米 | 南 | 简装 | 高楼层(共15层)  | 板塔结合,福鼎家园  未来科技城,"19,136元/平",0人关注 / 1个月以前发布,VR房源 房本满两年,
边套 全明 三房 客厅明亮 南北通 诚心出售 看房方便,3室1厅 | 82.72平米 | 南 | 精装 | 7层  | 板楼,天赐苑  建国北路,"32,036元/平",9人关注 / 5个月以前发布,近地铁 VR房源 房本满五年 随时看房,
滨江房产 滨江物业，双阳台，自住装修 采光充足,4室2厅 | 147.23平米 | 南 | 精装 | 11层  | 板楼,南肖埠庆和苑  南肖埠,"47,477元/平",3人关注 / 一年前发布,VR看装修 房本满五年 随时看房,
楼层好，视野开阔，配套设施齐全，交通便利、,4室2厅 | 130.02平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,金汇首府  富春,"19,997元/平",4人关注 / 一年前发布,VR看装修 房本满五年 随时看房,
乔司南地铁口 精装修3房 三开间朝南采光好,3室1厅 | 86.94平米 | 南 | 其他 | 13层  | 板塔结合,佳兆业君汇上品  乔司,"20,589元/平",0人关注 / 2个月以前发布,近地铁 VR看装修 房本满五年 随时看房,
清水苑东边套 精装修 不靠高架 楼梯房,4室2厅 | 137.44平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,岸上蓝山  闲林,"13,825元/平",8人关注 / 11个月以前发布,VR看装修 房本满五年,
田园山水里 ，采光好，视野开阔，精装修，税费清晰,2室2厅 | 89.33平米 | 南 | 精装 | 高楼层(共20层)  | 板塔结合,金隅田员外  半山,"23,061元/平",1人关注 / 2个月以前发布,VR看装修 房本满五年,
新开发板块，由高层和排屋组成，占地绿化高。近银泰,4室2厅 | 127.9平米 | 南 | 毛坯 | 低楼层(共20层)  | 板塔结合,金地风华东方  桐庐,"12,588元/平",4人关注 / 8个月以前发布,VR看装修 房本满两年 随时看房,
自住精装 拎包入住 全明户型通透 ，采光好 楼层好,3室1厅 | 116.85平米 | 南 | 精装 | 12层  | 板楼,锦昌年华  崇贤,"16,432元/平",2人关注 / 7个月以前发布,VR房源 房本满五年 随时看房,
绿城品质精装修，三开间朝南，大阳台,3室1厅 | 112.37平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,绿城留香园  钱江新城,"81,873元/平",1人关注 / 3个月以前发布,近地铁 VR房源 房本满五年 随时看房,
小区中间位置，楼层好采光充足，自住装修 满五年,3室2厅 | 95.99平米 | 南 | 精装 | 6层  | 板楼,华盛星洲翠谷  闲林,"13,335元/平",6人关注 / 2个月以前发布,VR房源 房本满五年 随时看房,
河景房 杭房制造 园区好 看房方便,3室2厅 | 97.2平米 | 南 | 毛坯 | 30层  | 板楼,杭房悦东方  大江东,"10,391元/平",2人关注 / 一年前发布,VR看装修 房本满两年,
此房满五唯一婚房装修春蕾全明户型中间楼层采光好,2室2厅 | 61.57平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,二圣庙前  众安桥,"45,152元/平",0人关注 / 1个月以前发布,近地铁 VR看装修 随时看房,
满2唯一。精装修的，房东诚心卖的。价格可以商量,3室2厅 | 92.67平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,丰泽苑(富阳)  富春,"11,871元/平",0人关注 / 一年前发布,VR看装修 房本满五年 随时看房,
未来城三期 精装修 房东诚心出售,3室2厅 | 88.81平米 | 南 北 | 精装 | 21层  | 板塔结合,万科未来城三期梦溪里  良渚,"21,957元/平",8人关注 / 6个月以前发布,VR看装修 房本满两年 随时看房,
税费自理 楼梯房得房率高 低总价户型方正，没有物业费,3室2厅 | 123.2平米 | 南 | 简装 | 4层  | 板楼,环宇小区  临安,"5,276元/平",2人关注 / 30天以前发布,VR房源 房本满五年,
低密度电梯花园洋房，视野宽阔采光充足,3室2厅 | 104.69平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,浅山明月府  桐庐,"4,585元/平",5人关注 / 9个月以前发布,VR看装修 随时看房,
"房东诚心出售,高楼层,房屋清爽,适合一家老小居住",3室2厅 | 89.57平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,宋都东郡国际朗湾  大学城北,"17,640元/平",3人关注 / 11个月以前发布,VR看装修 房本满五年 随时看房,
一楼带地下室，精装修，小区中间位置，满五唯一税费少,5室2厅 | 132.24平米 | 南 | 精装 | 11层  | 板塔结合,西溪华府  西溪,"57,472元/平",11人关注 / 一年前发布,VR房源 房本满五年 随时看房,
东边套--近地铁--配套成熟--小区品质高,4室2厅 | 124.5平米 | 南 | 精装 | 26层  | 板楼,景瑞阳光城法兰公园  东湖,"20,482元/平",4人关注 / 9个月以前发布,近地铁 VR看装修 房本满两年,
中间楼层，诚心卖 大三房，随时看房 双地铁口,3室1厅 | 94.02平米 | 南 | 简装 | 6层  | 板楼,铭雅苑东区  三墩,"18,082元/平",4人关注 / 3个月以前发布,近地铁 VR看装修 房本满五年 随时看房,
全屋纯实橡木装修，自住品质，拎包入住，现诚意出售。,4室2厅 | 137.8平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,西溪华东园  翡翠城,"28,302元/平",4人关注 / 3个月以前发布,VR看装修 房本满五年,
满五年精装大露台　有电梯的排屋，户型好,4室2厅 | 213.11平米 | 南 | 精装 | 4层  | 板楼,南岸花城  闻堰,"26,278元/平",4人关注 / 11个月以前发布,VR房源 房本满五年,
阿里巴巴旁，精装带地暖，满五年唯一一套,3室2厅 | 88.01平米 | 南 | 精装 | 10层  | 板楼,富力西溪悦居  未来科技城,"32,951元/平",4人关注 / 一年前发布,近地铁 VR看装修 房本满五年 随时看房,
天空之城，东边套，景观视野好，看房方便，价格可谈！,3室2厅 | 117.03平米 | 南 | 精装 | 11层  | 板楼,万科天空之城  未来科技城,"46,997元/平",6人关注 / 2个月以前发布,近地铁 VR房源 房本满两年 随时看房,
文教，2房朝南，总价低，装修清爽拎包入住，95年房龄,2室1厅 | 46.93平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,莫干山路515号  文教,"56,041元/平",3人关注 / 2个月以前发布,近地铁 VR看装修 房本满两年 随时看房,
美凯国际寓所3室2卫朝南 电梯124方 公摊14方 3阳台,3室2厅 | 124.07平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,美凯国际寓所  桐庐,"13,541元/平",1人关注 / 27天以前发布,VR看装修 房本满两年,
【臻选好房】大三房  不靠高架  楼层佳视野开阔总价低,3室2厅 | 120.38平米 | 南 | 毛坯 | 18层  | 板楼,良熟新苑  临平新城,"13,956元/平",0人关注 / 26天以前发布,VR房源 随时看房,
好地段，生活方便，入住率高，好楼层，,3室2厅 | 125.26平米 | 南 | 简装 | 6层  | 板楼,绿岛花园南区  临安,"6,307元/平",2人关注 / 6个月以前发布,VR看装修 随时看房,
天元公学旁，中上楼层视野好通透性好未科TOD一览无余,4室2厅 | 138.5平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,西溪华东园  翡翠城,"28,737元/平",1人关注 / 2个月以前发布,VR看装修 房本满两年 随时看房,
优质小户型，满五年，精装修，拎包入住，看房方便,3室2厅 | 88.48平米 | 南 北 | 精装 | 15层  | 板楼,蒙卡岸  翡翠城,"26,221元/平",0人关注 / 2个月以前发布,近地铁 VR看装修 房本满五年 随时看房,
老小区，楼梯房，户型正，楼层好 朝南，采光好,3室2厅 | 80.52平米 | 南 | 简装 | 6层  | 板楼,临天路八弄60号  临安,"6,955元/平",0人关注 / 2个月以前发布,VR看装修 房本满两年 随时看房,
奥园精装大三房，圣都品牌装修，业主诚心卖，中上楼层,3室1厅 | 100.96平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,奥园  南部卧城,"26,249元/平",2人关注 / 8个月以前发布,VR看装修 房本满五年 随时看房,
南湖边，精装修3房，楼层好中间位置房东诚售.,3室2厅 | 87.53平米 | 南 | 其他 | 23层  | 板楼,世贸湖山帝景湾南苑  老余杭,"16,909元/平",0人关注 / 24天以前发布,VR看装修 房本满五年 随时看房,
胭脂新村，武林广场旁，3楼自住装修，阳光好，诚售,3室1厅 | 95.57平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,胭脂新村  天水,"37,669元/平",3人关注 / 一年前发布,近地铁 VR看装修 随时看房,
地上开发，次新小区，环境好，配套齐全.,3室2厅 | 89平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,春天学府  临安,"11,798元/平",0人关注 / 一年前发布,VR看装修,
新交付小区，4叶草户型，格局好，地铁500米，交通便利,4室2厅 | 132.91平米 | 南 | 毛坯 | 11层  | 板塔结合,广厦天都城尚棠源筑  星桥,"15,951元/平",13人关注 / 一年前发布,近地铁 VR看装修 房本满两年 随时看房,
此房满二年，无增值税，业主自住精装修，保养完好,3室2厅 | 96.09平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,保亿麓语湖苑  青山湖科技城,"14,778元/平",1人关注 / 6个月以前发布,VR房源 房本满两年 随时看房,
高桥板块带地暖精装修交付的楼盘，户型好，小区环境好,4室2厅 | 105.3平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,万达悦享同心湾南区  银湖科技城,"15,195元/平",2人关注 / 一年前发布,近地铁 VR看装修 房本满两年 随时看房,
品质小区，婚房精装修，看房方便户型方正,3室2厅 | 119.85平米 | 南 | 精装 | 6层  | 板楼,紫竹人家  老余杭,"16,521元/平",1人关注 / 4个月以前发布,VR看装修 房本满五年 随时看房,
未来科技城 边套户型 满五唯一 税少 精装修 低总价,3室2厅 | 119.93平米 | 西 西南 | 其他 | 18层  | 板楼,竹海水韵春风里  闲林,"16,594元/平",3人关注 / 1个月以前发布,VR房源 房本满五年 随时看房,
香港置地开发，港企精装，运河新城，刚需户型,3室2厅 | 105.2平米 | 南 | 精装 | 24层  | 板塔结合,上河公元里  运河新城,"47,529元/平",0人关注 / 13天以前发布,VR看装修 房本满两年,
房东诚心出售 视野宽阔、交通便利 清爽干净 采光好,2室1厅 | 76.31平米 | 南 | 简装 | 中楼层(共27层)  | 塔楼,金牛坊  采荷,"39,969元/平",2人关注 / 3个月以前发布,近地铁 VR看装修 房本满五年,
光明逸品春江：配套设施齐全，交通便利 。,4室2厅 | 143.48平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,光明逸品春江  鹿山新城,"12,406元/平",0人关注 / 11个月以前发布,VR看装修 房本满五年 随时看房,
